Symptoms,Advice
Cuts,"Wash with clean water and apply antiseptic."
Wounds,"Clean properly and cover with sterile bandage."
Fever with chills,"Take paracetamol and stay warm."
Night sweats,"Keep room cool and wear light clothing."
Difficulty sleeping,"Try relaxation breathing before bed."
Restless legs,"Stretch before sleep and reduce caffeine."
Depression,"Talk to friends or a counselor and stay active."
Overthinking,"Write your thoughts down and focus on hobbies."
Lack of focus,"Take short breaks and minimize distractions."
Sleep deprivation,"Set a bedtime routine and avoid phone before bed."
Nightmares,"Avoid horror content before sleep and relax before bed."
Burnout,"Take a day off and do something you enjoy."
Mood swings,"Maintain balanced diet and regular exercise."
Loneliness,"Spend time with loved ones and join social groups."
Lack of motivation,"Start with small goals and reward yourself."
Memory loss,"Practice brain games and get adequate sleep."
Head spinning,"Drink water and sit down immediately."
Low confidence,"Practice positive self-talk and improve skills."
Stage fear,"Practice in front of mirror and deep breathing."
Social anxiety,"Start small conversations and avoid isolation."
Heat stroke,"Move to shade and drink oral rehydration solution."
Tired eyes,"Use eye drops and take screen breaks."
Eye strain,"Follow 20-20-20 rule: every 20 mins, look 20 ft away for 20 sec."
Leg cramps,"Stretch your muscles and drink electrolyte water."
Foot pain,"Soak feet in warm salt water for 10 minutes."
Obesity,"Control diet and include daily physical activity."
Underweight,"Increase protein intake and eat every 3 hours."
Appetite loss,"Eat small frequent meals and drink fruit juice."
Laziness,"Exercise daily and avoid oversleeping."
Tired,"Get at least 7–8 hours of sleep, drink plenty of water, and avoid excess caffeine or sugar."
Feeling tired,"Take short breaks during work or study, stretch often, and eat iron-rich foods."
Always tired,"Check your sleep routine, reduce screen time before bed, and consult a doctor if it continues."
Exhaustion,"Take proper rest, eat a balanced diet, and avoid overworking yourself."
Not feeling well,"Take rest, stay hydrated, and monitor your temperature; consult a doctor if it persists."
Feeling unwell,"Drink warm fluids, eat light meals, and avoid stress or overexertion."
Feeling sick,"Rest properly, drink ginger tea or warm water, and see a doctor if symptoms worsen."
Uncomfortable,"Lie down in a quiet place, breathe slowly, and avoid skipping meals."
Feeling off,"Take a short nap, eat something healthy, and drink enough water to refresh your body."
